MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.000562957,16.1886,4.14785,15.3798,-1.87938,14.2305,15.7561
0.000578997,15.5998,4.22936,15.7124,-1.47261,14.6114,15.6625
0.000642279,15.2045,4.32572,16.0156,-0.742737,15.0052,15.4627
0.000622266,15.2316,4.52647,16.3415,-0.171728,15.4845,15.3443
0.00063843,15.2306,4.75248,16.6792,-0.0604336,16.1735,15.5626
0.000598237,14.934,5.02051,17.0023,0.297404,16.6907,15.6055
0.000663016,14.6268,5.13137,17.3802,0.882138,17.193,15.5512
0.000628401,14.341,5.17421,17.8287,1.39169,17.6673,15.5539
0.000592445,14.1532,5.4021,18.1418,1.82285,18.1208,15.5739
0.000634071,14.2213,5.4771,18.4848,2.55472,18.5218,15.386
0.000600586,14.5515,5.56882,19.0144,2.72071,19.0053,15.867
0.000626413,15.1066,5.8324,19.2253,2.65848,19.5374,16.1006
0.000602518,15.4118,6.01184,19.491,2.5131,19.8941,16.5389
0.000576713,15.6066,6.2245,19.7242,2.50227,20.2441,16.8032
0.000588867,15.6869,6.29046,20.0622,2.65499,20.562,16.8646
0.000595567,15.2232,6.28298,20.4335,2.96611,20.8208,16.8016
0.000616878,14.9334,6.37721,20.7458,3.35904,21.0705,16.5879
0.000603811,14.9687,6.54442,20.8762,3.69772,21.4104,16.5656
0.000595739,15.01,6.68831,20.9885,3.66723,21.6401,16.4841
0.000614532,15.258,6.7806,21.0653,3.77084,21.8507,16.7518
0.00059009,15.5708,6.84559,21.3244,3.90339,22.1056,16.9914
0.000586796,15.8156,6.87732,21.4881,3.88624,22.2963,17.0254
0.000598755,16.3442,6.9091,21.7128,3.64952,22.3168,17.3414
0.000597331,17.1967,6.98387,21.7195,3.82766,22.645,17.8046
0.000598913,17.6937,6.99875,21.7796,3.03853,22.769,19.0416
0.00056627,17.8616,7.06897,21.7871,2.90374,22.9092,19.3357
0.000560867,17.9643,7.13188,21.9843,2.95161,23.1867,19.4986
0.000569246,17.8681,7.11285,22.353,3.21327,23.4039,19.3852
0.000526736,17.9507,7.30571,22.4622,3.31222,23.5974,19.4084
0.000542726,18.1765,7.39428,22.639,3.24183,23.9662,19.5629
0.000548794,18.2797,7.51571,22.5704,3.16864,24.1638,19.6159
0.000509395,18.2407,7.64617,22.4978,3.26839,24.3586,19.4674
0.000546133,18.2365,7.8045,22.6569,3.25471,24.6007,19.5586
0.000533053,18.458,7.80712,22.7991,3.32284,24.6933,19.4754
0.000503178,18.8439,7.88361,22.9328,3.09939,24.955,19.7327
0.000529136,19.1952,7.96461,22.944,2.92977,25.0765,19.9265
0.00052488,19.3489,8.11055,22.842,2.93242,25.2696,20.3082
0.000466167,19.4614,8.14433,22.8868,2.89602,25.383,20.4632
0.000497925,19.7358,8.18026,23.0845,3.04393,25.5598,20.4441
0.000496737,20.1459,8.3448,23.1698,2.90205,25.7922,20.6797
0.000458542,20.501,8.35011,23.244,2.70453,25.9678,20.8916
0.000483622,20.3653,8.45437,23.3937,2.70345,26.3525,21.3383
0.000465765,20.3445,8.52385,23.6124,3.05582,26.5507,21.1052
0.000473262,20.5277,8.61162,23.8166,3.16519,26.7991,21.0549
0.00049248,20.7292,8.70166,24.0268,3.23192,27.1632,21.4727
0.000455611,20.8782,8.75861,24.1693,3.24257,27.3872,21.5395
0.000457474,20.9669,8.87429,24.2979,3.58378,27.7246,21.7125
0.00048357,20.9327,9.11352,24.3437,3.63161,28.0596,21.8371
0.000484566,20.9141,9.12109,24.5634,3.80437,28.3146,21.7465
0.000487051,21.0802,9.17265,24.7748,3.86561,28.61,21.9804
0.000473717,21.1593,9.31387,24.9854,3.8021,29.1145,22.2906
0.000471988,21.0182,9.46197,25.0843,3.97215,29.5698,22.244
0.000487399,20.6949,9.61699,25.3465,3.89568,29.8477,22.0754
0.000545583,20.338,9.70818,25.397,4.36482,30.3709,21.8875
0.000476921,20.0931,9.80824,25.5646,4.58128,30.8308,21.6672
0.000505756,20.1121,9.91325,25.5491,4.58621,31.2947,21.6472
0.00050657,20.2873,10.0963,25.576,4.44283,31.7978,21.7999
0.000510442,19.9892,10.2335,25.4966,4.50839,32.1995,21.6482
0.000469013,19.7233,10.3477,25.5205,4.68614,32.6137,21.4007
0.000529987,19.4509,10.4175,25.5634,4.76162,33.0223,21.2923
0.000525477,19.3485,10.5958,25.5956,4.8662,33.4369,21.0869
0.000524747,19.364,10.77,25.6027,4.82503,33.9023,21.1405
0.000528437,19.2931,11.0147,25.5881,4.82784,34.3512,21.1487
0.000509059,19.0105,11.0189,25.8199,4.92028,34.8362,21.1624
0.00055974,18.6567,11.1351,25.9677,5.1245,35.255,20.9322
0.00053342,18.5396,11.16,26.1698,5.68515,35.904,20.4488
0.000516436,18.3847,11.3579,26.3466,5.60446,36.2105,20.7428
0.000546872,18.4542,11.5873,26.5489,5.63982,36.5605,20.5918
0.000529547,18.3868,11.8276,26.8675,5.92657,37.2092,20.8063
0.000542758,18.1634,11.9765,27.2099,6.47969,37.778,20.629
0.000515199,18.0523,12.1262,27.5554,6.60217,38.1152,20.9574
0.00052484,17.9578,12.2862,27.9041,6.91849,38.7742,20.8751
0.000536846,17.9879,12.5687,28.0566,7.65804,39.2601,21.237
0.000516532,18.2759,12.8296,28.5474,7.80831,39.7444,21.134
0.0005447,18.4257,13.1669,28.8828,7.87478,40.5419,21.5184
0.000542398,18.4254,13.4477,29.4392,8.11789,41.152,21.6928
0.000581037,18.0567,13.668,29.6342,8.48961,41.6048,21.7894
0.000577085,17.8038,13.873,30.0013,8.97049,42.3351,21.6334
0.000573597,17.378,14.0439,30.4916,9.49651,42.8404,21.5882
0.000635281,17.1622,14.3048,30.7781,9.91285,43.2605,21.2547
0.00057309,17.4641,14.6699,31.0081,10.1035,44.0781,21.5737
0.000590511,17.4254,14.9172,31.1685,10.317,44.6461,21.817
0.000542386,17.3451,15.1593,31.386,10.526,45.0231,21.745
0.000648817,17.1746,15.4446,31.4234,10.6972,45.5914,21.8993
0.000601543,16.6466,15.559,31.6856,11.0914,46.0178,21.6871
0.000574853,16.5617,15.7007,31.8659,11.3902,46.3233,21.4094
0.000591758,16.7845,15.8624,31.9682,11.6561,46.8823,21.4952
0.000559768,16.9996,15.96,32.2094,11.675,47.158,21.6435
0.000606263,16.8583,16.2331,31.9639,11.7838,47.56,21.755
0.00058722,16.5227,16.3181,31.9365,11.934,47.8806,21.6448
0.000585657,16.4235,16.4415,32.0156,12.0401,48.2019,21.4509
0.000588501,16.5071,16.2959,32.1833,12.2144,48.4181,21.6484
0.000573626,16.5861,16.2265,32.3408,12.3841,48.6514,21.8354
0.000577828,16.7077,16.285,32.3182,12.3978,48.9056,21.7828
0.000597386,16.567,16.4409,32.233,12.5466,49.0889,22.0349
0.000601103,16.4172,16.6064,32.1548,12.9012,49.3039,22.1491
0.000632774,16.7156,16.693,32.3869,12.9335,49.6012,22.0961
0.000584577,16.9574,16.7513,32.5228,13.2788,49.8068,22.6157
0.000567885,17.4442,16.8262,32.6656,13.3425,50.0283,23.0074
0.000614379,18.0897,17.0567,32.5476,13.4057,50.3358,23.6727
0.000557842,18.5257,17.1948,32.6209,13.4248,50.7449,24.2641
0.00053321,18.4429,17.4096,32.8671,13.4695,51.1008,24.5199
0.000540649,18.1449,17.6228,32.8628,13.6128,51.5844,24.3724
0.000590479,17.8419,17.6629,33.1746,13.727,51.9656,24.0021
0.000611647,17.8019,17.9647,33.3644,14.1506,52.3743,24.1258
0.000572198,18.1761,18.2247,33.6214,14.4728,52.7332,24.5055
0.00059007,18.7714,18.4705,33.8643,14.782,53.1111,25.2305
0.000541597,19.1831,18.5999,34.2292,15.0413,53.4156,25.8978
0.000564009,19.3552,18.8041,34.3459,15.4343,53.8113,26.4387
0.000559735,19.5169,19.0628,34.6723,15.7551,54.1979,26.5266
0.00058402,19.8204,19.502,34.9176,16.0319,54.7352,26.997
0.000554908,20.1443,19.8414,35.1765,16.4443,55.2258,27.7128
0.000548927,20.3047,20.2522,35.3568,16.9503,55.7705,28.1728
0.000555457,20.5064,20.3855,35.8171,17.4376,56.2563,28.5188
0.000536491,20.5747,20.5975,36.2105,17.9053,56.7022,29.1213
0.000568993,20.4408,20.8202,36.3369,18.4086,57.2015,29.33
0.000616746,20.6737,21.0931,36.7074,18.8129,57.6175,29.7686
0.000567422,20.9419,21.2012,37.0863,19.3132,58.0286,30.3641
0.000612779,20.9757,21.4174,37.3954,19.8011,58.45,30.8019
0.000547052,20.9081,21.5599,37.7038,20.4229,58.9195,31.1952
0.00057208,20.8107,21.6939,37.9105,20.8191,59.3028,31.5001
0.000576172,20.6292,21.848,38.1459,21.3774,59.6721,31.7958
0.000582425,20.6333,21.9128,38.3769,21.9776,60.0185,32.1878
0.000638282,21.3671,21.9284,38.8432,22.7526,60.2494,33.0537
0.000583115,21.3671,21.8399,39.2138,23.6463,60.5199,34.253
0.000677593,20.8316,21.7627,39.4031,24.1972,60.8075,34.1572
0.000625769,20.8797,21.6586,39.6487,24.8241,61.0995,34.2208
0.000601576,21.0224,21.5613,39.9019,25.4283,61.2613,34.8429
0.000609626,20.9244,21.4011,40.0135,26.0066,61.4255,35.1627
0.000593093,21.1759,21.4007,40.1328,26.5126,61.6214,35.5639
0.000590306,21.2799,21.4531,40.2233,27.086,61.7402,36.3984
0.000624647,21.2417,21.4019,40.3079,27.4428,61.9666,36.5337
0.000629087,21.114,21.5299,40.2527,27.7967,62.1821,36.757
0.000645463,21.0712,21.6543,40.2605,28.1584,62.4674,37.0615
0.000625826,20.9976,21.6872,40.3435,28.261,62.7298,37.0127
0.000642386,20.8793,21.7193,40.4628,28.5768,63.0438,37.2484
0.000692734,20.7605,21.8283,40.4757,28.8758,63.3289,37.5582
0.000644351,20.5793,22.0073,40.325,29.2136,63.5978,37.7858
0.000660954,20.6906,22.0695,40.4791,29.3988,63.957,37.7317
0.000633311,20.8895,22.2282,40.5299,29.6923,64.1844,38.3064
0.000625064,20.9226,22.4305,40.7034,30.0342,64.6104,38.5414
0.000599738,20.8784,22.728,40.7462,30.3997,64.9773,38.9166
0.000707252,20.8311,22.8157,41.2025,30.8689,65.4739,39.053
0.000638474,20.6154,22.9376,41.4682,31.2055,65.8605,39.1843
0.000682188,20.2559,23.1021,41.5224,31.7242,66.2568,39.324
0.000647135,19.9878,23.0722,41.707,32.1665,66.5864,39.3893
0.000639773,19.7675,23.1302,41.7794,32.545,66.8793,39.4352
0.000644602,19.6014,23.2665,41.6632,32.8541,67.1041,39.7175
0.000725084,19.669,23.3706,41.6134,33.2264,67.4201,40.0024
0.000682794,19.8887,23.3893,41.7772,33.5632,67.635,40.6255
0.000620467,19.8404,23.5383,41.691,33.9095,67.9559,41.0894
0.000630104,19.7925,23.5946,41.8382,34.2113,68.2966,41.4173
0.000716909,19.503,23.7172,41.8017,34.3105,68.751,41.1959
0.000717435,19.2708,23.8461,41.8569,34.4472,69.1545,41.0851
0.000690305,19.0876,23.9619,41.8955,34.6199,69.5706,41.0751
0.000706708,19.2384,24.0533,42.0579,35.1281,69.8376,41.5775
0.000723707,19.4439,24.0003,42.3572,35.9991,70.095,42.5463
0.000689855,19.201,23.9916,42.5105,36.7653,70.3995,42.8939
0.000748444,19.1529,23.7013,42.945,37.6514,70.4998,43.2932
0.000700487,19.6148,23.5689,43.3136,38.9039,70.521,44.3576
0.000754134,20.6306,23.5596,43.7076,40.7249,70.3127,46.6782
0.000684944,21.2973,23.4822,44.0128,42.183,70.0997,48.7487
0.000649802,21.267,23.3466,44.2428,43.3169,70.0991,49.7883
0.000636379,21.2467,23.4068,44.4831,44.4105,70.2851,50.5835
0.000664901,21.1994,23.283,44.8932,45.3687,70.5264,51.1981
0.000642337,21.1362,23.4198,44.9357,46.4655,70.7162,52.0537
0.00063453,21.2272,23.5678,45.0668,47.4663,70.8851,52.8865
0.000634192,21.3185,23.5937,45.2561,48.6054,70.9639,54.1319
0.00062934,21.2661,23.5927,45.542,49.6857,71.1441,55.0707
0.000616429,21.3061,23.6037,45.6382,50.4132,71.3453,55.5648
0.000696245,21.6768,23.7201,45.8077,51.1657,71.3539,56.5489
0.000682835,21.9866,23.8813,46.0638,52.3988,71.4549,58.0352
0.000627976,22.3197,23.9003,46.4229,53.4162,71.5159,59.2834
0.00066608,22.1279,24.0591,46.4184,54.3098,71.6539,60.2723
0.000660946,21.8789,24.113,46.4957,54.705,71.9212,60.4169
0.000630809,21.9609,24.2417,46.6727,55.8567,72.2127,61.3213
0.000623536,22.3014,24.3479,46.8654,56.933,72.2958,62.6013
0.000598999,22.4131,24.5389,46.7629,57.4183,72.3123,63.3296
0.000597058,22.506,24.5855,46.9239,58.401,72.5101,64.2894
0.0005939,22.735,24.728,46.9797,59.1791,72.5575,65.2954
0.000618249,22.7364,24.7529,47.019,59.8599,72.6325,65.9815
0.000608818,22.793,24.8474,47.0838,60.476,72.7487,66.54
0.000638587,22.7622,24.9168,47.0857,61.2766,72.7917,67.3587
0.000588313,22.7556,24.8301,47.185,61.8146,72.8022,67.8736
0.000634221,22.8376,24.8037,47.3021,62.2773,72.7931,68.3698
0.000627387,22.9151,24.9068,47.2483,63.2952,72.8364,69.1927
0.000618782,22.9669,24.8323,47.3543,64.0305,72.9043,69.8772
0.000602725,22.998,24.868,47.3932,64.8414,72.9125,70.5965
0.000665788,23.0911,24.8862,47.4624,65.6035,72.9848,71.402
0.000636023,23.0432,24.9299,47.5038,66.3475,73.0747,71.9871
0.00063678,23.1173,24.8892,47.6718,67.2281,73.1068,73.0485
0.000602008,23.2288,24.9339,47.6635,68.2024,73.2204,73.8924
0.000620744,23.3825,24.939,47.84,69.051,73.3363,74.6503
0.000619113,23.4184,24.9455,47.9461,69.7951,73.2317,75.5855
0.00062186,23.3145,24.9633,47.8931,70.6217,73.2594,76.4196
