MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.000159514,1.89427,-4.70073,-6.85462,1.34096,4.95995,3.46782
0.000160071,1.61354,-4.68513,-6.29738,0.939237,4.846,3.17878
0.000189038,1.109,-4.67175,-5.30416,0.421831,4.64202,2.94606
0.000167633,0.716672,-4.66167,-4.35617,-0.139951,4.43883,2.95751
0.000193159,0.359701,-4.62502,-3.78901,-0.586851,4.2454,2.48397
0.000190558,-0.144455,-4.36207,-3.11444,-1.12282,4.01301,2.40315
0.000188479,-0.456692,-4.23537,-2.04445,-1.6307,3.77973,2.42852
0.000210427,-0.817956,-4.02382,-1.52573,-2.07735,3.62586,2.06781
0.000179977,-1.05287,-3.94659,-1.17257,-2.44966,3.45791,2.03901
0.000199222,-1.3784,-3.83081,-0.51322,-2.94139,3.2361,1.77469
0.000222063,-1.83923,-3.69861,0.0740612,-3.42952,3.1251,1.65413
0.000224233,-2.25665,-3.80208,0.998783,-3.73434,2.95678,1.88335
0.000206185,-2.72133,-3.78523,1.85832,-4.24812,2.8105,1.71183
0.000203399,-3.25156,-3.68731,2.47391,-4.64299,2.68811,1.84347
0.000206507,-3.27103,-3.57524,3.4566,-4.92143,2.61683,1.57608
0.000232413,-3.64553,-3.35672,4.06877,-5.29889,2.46069,1.49788
0.000219119,-3.98981,-3.21842,4.57747,-5.68534,2.28286,1.60053
0.000209359,-4.05442,-3.10037,5.01217,-5.96518,2.18392,1.04887
0.000217764,-4.3407,-2.83744,5.02241,-6.259,2.08499,0.972897
0.000239544,-4.52079,-2.82404,5.4035,-6.57286,1.88118,1.0379
0.000229592,-4.84733,-2.80896,6.08167,-6.86242,1.73102,0.87427
0.000247122,-5.19454,-2.66639,6.78489,-7.16986,1.60515,1.0638
0.000248115,-5.30397,-2.54024,7.38944,-7.38567,1.50494,0.693589
0.000232423,-5.80153,-2.1155,8.04173,-7.77429,1.38904,0.948818
0.000270123,-6.57722,-1.95804,8.26265,-8.12822,1.3246,1.32241
0.000253625,-7.19994,-1.71935,8.76674,-8.46785,1.30784,1.75353
0.000277383,-7.78546,-1.32614,9.45343,-8.78503,1.26539,2.36899
0.000238035,-8.07173,-1.01807,9.83628,-9.00936,1.16132,2.46955
0.000232252,-8.4063,-0.82142,10.2565,-9.20264,1.11445,2.505
0.000295232,-9.18505,-0.333354,10.7608,-9.49775,1.03732,3.09431
0.000314323,-9.65741,-0.250173,11.2912,-9.71556,0.993202,3.35115
0.000243919,-8.60035,0.33468,11.7388,-9.72534,0.796078,2.22303
0.000253572,-8.66524,0.626606,12.0813,-9.84992,0.705606,2.62258
0.000242808,-8.36976,1.03075,12.4882,-9.82103,0.674305,2.17321
0.000252905,-8.24156,1.32749,12.5406,-9.89579,0.791343,2.09364
0.000246368,-8.02292,1.68464,12.6601,-9.99477,0.929511,1.72082
0.000247121,-7.8729,2.10958,12.8538,-10.0999,1.05476,1.58914
0.00027861,-7.82768,2.34165,12.8451,-10.1419,1.17439,1.49587
0.000261498,-7.49001,2.57583,12.9214,-10.0706,1.32409,1.23709
0.000249945,-7.14989,3.02621,12.7932,-10.0191,1.37171,1.23041
0.000323588,-7.49196,3.39228,12.963,-9.93913,1.57718,1.46353
0.000311283,-7.40074,4.09056,12.8447,-9.76166,2.04039,1.98805
0.000258874,-6.63829,4.15022,12.6682,-9.54298,2.22171,1.66128
0.000276609,-6.77048,4.32214,12.2612,-9.39942,2.53963,1.55723
0.000269264,-6.77463,4.46865,12.0078,-9.19189,2.88605,2.03738
0.000266011,-6.38819,4.50321,11.6133,-8.96976,3.20882,1.87099
0.000251312,-6.50337,4.75745,11.597,-8.6752,3.55313,2.48663
0.000287393,-6.67381,4.99912,11.1878,-8.50017,3.92545,2.85972
0.000263178,-6.56455,4.99655,11.0009,-8.20911,4.49317,2.71168
0.000271901,-6.42156,4.78786,10.4818,-7.95333,5.00035,2.79598
0.000238266,-6.21864,4.65353,10.232,-7.72958,5.46714,2.77302
0.000258032,-6.04227,4.85701,9.88008,-7.56761,5.92406,2.93413
