MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.00467693,-3.15972,-6.18123,4.09175,-6.57286,1.88118,1.0379
0.00480858,-3.44567,-6.07383,4.63625,-6.86242,1.73102,0.87427
0.00505638,-3.9084,-5.78312,4.66606,-7.16986,1.60515,1.0638
0.00506793,-4.05759,-5.84282,5.31264,-7.38567,1.50494,0.693589
0.0053704,-4.63749,-5.63226,5.67074,-7.77429,1.38904,0.948818
0.00496721,-5.37154,-5.47155,6.28265,-8.12822,1.3246,1.32241
0.00528194,-6.02299,-5.18149,6.82667,-8.46785,1.30784,1.75353
0.00592529,-6.69424,-4.88541,6.9948,-8.78503,1.26539,2.36899
0.00502936,-6.98791,-4.55741,7.54731,-9.00936,1.16132,2.46955
0.00481177,-7.27079,-4.24441,8.04035,-9.20264,1.11445,2.505
0.00506706,-8.05668,-3.71144,8.56006,-9.49775,1.03732,3.09431
0.00545245,-8.47116,-3.34575,8.64926,-9.71556,0.993202,3.35115
0.00545679,-7.44808,-2.84185,9.13823,-9.72534,0.796078,2.22303
0.00528381,-7.54788,-2.59401,9.43486,-9.84992,0.705606,2.62258
0.00490847,-7.26343,-2.28447,9.49243,-9.82103,0.674305,2.17321
0.0048026,-7.17922,-1.88625,9.78603,-9.89579,0.791343,2.09364
0.00532049,-7.00851,-1.59296,10.0245,-9.99477,0.929511,1.72082
0.00536619,-6.94493,-1.41017,10.1344,-10.0999,1.05476,1.58914
0.00557515,-6.82515,-1.11941,10.497,-10.1419,1.17439,1.49587
0.0051602,-6.56784,-0.997995,10.5721,-10.0706,1.32409,1.23709
0.00561985,-6.25532,-0.65882,10.5602,-10.0191,1.37171,1.23041
0.00613561,-6.54547,-0.168479,10.7079,-9.93913,1.57718,1.46353
0.00673492,-6.48815,0.479767,10.3652,-9.76166,2.04039,1.98805
0.00529356,-5.73326,0.446684,10.114,-9.54298,2.22171,1.66128
0.00579732,-5.80652,0.710958,9.91578,-9.39942,2.53963,1.55723
0.00586809,-5.70042,1.00791,9.68563,-9.19189,2.88605,2.03738
0.00541098,-5.28783,1.16033,9.24139,-8.96976,3.20882,1.87099
0.00543886,-5.45509,1.36173,8.97176,-8.6752,3.55313,2.48663
0.00547111,-5.69709,1.41918,8.48751,-8.50017,3.92545,2.85972
0.00501997,-5.59486,1.37147,8.00631,-8.20911,4.49317,2.71168
0.00532839,-5.38116,1.29647,7.57015,-7.95333,5.00035,2.79598
